177.63,89.16,539.87,115.11,157.32,0.096296,0.27922,0.63158,12.619,27.7,4.7,13.2,0.55272,1.25,0,0.49,16.163,0.96114,26.939,57.214,136.36,443.68,662.11,1.5554,4.9704,-2.1,2.1193,0.75721,1.9541,-1.5339,0.28395,1.0374,3.4378,-0.70005,1.1883,0.47754,1.6013,-1.032,0.5044,0.48249,1.3401,-1.202,0.046052,0.38663,0.8592,-1.2703,-0.21334,0.41369,0.86685,-1.2121,-0.06892,0.29224,0.81812,-0.68349,0.088591,0.33005,0.74123,-1.2259,-0.072284,0.30014,0.91047,-0.74767,0.00042612,0.21933,0.73,-0.59224,0.078902,0.26068,0.46944,-0.94235,-0.20301,0.6861,2.1193,-0.21334,0.3127
334.73,184.3,839.09,139.13,254.35,0.049235,0.2054,0.72917,7.1468,17.6,0.2,5.6125,0.81545,2.3,0.05,0.81875,6.855,0.87269,6.855,28.358,133.59,517.56,944.28,1.6223,4.7223,-3.8386,1.6702,1.4265,2.7275,-4.4829,-0.31801,0.73351,2.267,-1.2184,0.6485,0.54478,1.6016,-1.3345,0.16192,0.38405,0.99192,-1.1878,0.023662,0.42792,0.65215,-1.3441,-0.20915,0.34504,1.0594,-0.66938,0.15282,0.33165,0.73892,-0.98005,-0.11505,0.3063,1.2123,-0.65183,0.15087,0.26819,0.82342,-0.68532,0.1122,0.28897,0.78106,-0.61185,0.065401,0.23428,0.82123,-0.58817,0.099423,0.51966,1.6702,-0.31801,0.20357
368.27,155.39,842.49,248.81,321.46,0.057088,0.20925,0.71429,14.311,30.85,4.7,14.417,0.68481,1.85,0.35,1.1125,9.7191,0.90671,12.959,49.948,201.85,272.27,607.73,1.4067,5.4188,-2.1018,1.5066,1.0451,1.9063,-3.4146,-0.24722,0.78118,2.0967,-1.8419,0.60027,0.64723,1.9132,-1.8003,0.078909,0.45898,1.3438,-1.0968,0.29022,0.33122,1.3528,-1.2687,-0.16466,0.3855,0.76673,-1.0264,-0.10966,0.38152,1.1455,-1.207,-0.10225,0.24769,0.7559,-0.77411,-0.030255,0.30231,0.65216,-0.93479,-0.016115,0.25626,0.86852,-0.49845,0.153,0.23285,0.56981,-0.71077,0.014339,0.47975,1.5066,-0.24722,0.16443
250.28,38.237,484.22,209.34,241.92,0.063061,0.23814,0.83333,9.3692,19.95,6.7,13.325,0.05,1,0.9,0.95,9.3509,0.90339,14.026,50.171,176.14,258.59,320.78,1.3727,5.1986,-1.3986,1.9487,1.1882,2.4316,-2.9541,-0.15756,1.1113,3.2085,-1.1023,1.0661,0.83485,1.9123,-1.498,0.26749,0.3494,0.87324,-0.65034,0.15574,0.4211,0.36067,-1.5617,-0.29118,0.30852,0.95965,-0.74309,0.078816,0.37361,0.40837,-1.0787,-0.29988,0.25426,0.70186,-0.69152,0.14633,0.32365,1.3357,-0.51546,0.16953,0.35111,0.96479,-0.64957,0.10578,0.21721,0.66126,-0.43125,0.13179,0.63209,1.9487,-0.29988,0.27681
270.27,54.139,606.25,201.63,258.8,0.062034,0.22972,0.54711,11.907,29.25,0.25,9.19,0.78175,2.5,0.1,0.93182,8.9659,0.89966,9.8624,35.617,204.44,770.81,1903.2,1.8412,5.7302,-3.2827,1.6218,0.96439,2.6868,-2.2794,0.38519,0.85289,3.1207,-2.0214,0.65609,0.58997,1.6767,-1.9661,0.07827,0.43336,1.3666,-1.2454,0.16058,0.44745,1.2068,-1.4429,-0.17087,0.32163,1.1064,-0.9118,0.035403,0.34812,0.94054,-0.94767,-0.0020909,0.32655,1.1474,-1.1346,-0.053566,0.25419,1.0395,-0.65569,0.12699,0.28666,0.93197,-0.84926,0.1819,0.21418,0.71123,-0.72269,0.058545,0.48027,1.6218,-0.17087,0.25652
383.59,225.28,905.9,142.93,256.87,0.056725,0.32245,0.57471,5.9215,20.8,5.95,12.08,0.60725,1.7,0.1,0.925,10.883,0.91585,13.059,55.212,276.81,272.42,888.6,2.0175,5.2834,-2.2854,1.8352,0.96487,2.7244,-2.1518,0.36952,0.85382,3.1353,-1.5233,0.78979,0.63695,1.5745,-1.6165,0.20216,0.46945,0.85993,-1.4806,-0.09101,0.43892,0.85755,-1.3741,-0.079449,0.32221,0.65386,-1.1909,-0.10718,0.38514,0.97074,-1.3165,-0.034467,0.28506,0.73971,-0.72086,0.011862,0.29424,0.78528,-0.79336,0.065318,0.29498,1.0718,-0.82722,0.097601,0.23406,0.82482,-0.56379,0.13607,0.55415,1.8352,-0.10718,0.26628
332.79,85.696,572.31,238.89,290.76,0.054395,0.19048,0.73684,5.2136,19.6,6.1,11.042,0.61606,2.4,0.7,1.0571,8.9527,0.89952,10.445,26.464,140.51,1086,2186.3,1.8313,5.0568,-3.4447,1.0808,1.0782,3.0677,-2.7221,0.35702,0.7265,2.718,-0.96289,0.92017,0.60096,1.5141,-1.6819,0.12915,0.3664,0.75233,-1.4754,-0.1865,0.38728,0.85725,-1.1671,-0.11484,0.36447,1.0071,-1.1894,-0.0060973,0.34862,0.79973,-1.1916,-0.18482,0.35339,0.7622,-1.1592,-0.031868,0.30327,0.74251,-1.2471,0.031981,0.35002,0.88535,-1.2626,0.04153,0.40104,0.96173,-1.7809,-0.026433,0.41658,1.0808,-0.1865,0.16751
273.61,103.6,740.22,175.34,249.05,0.060146,0.17947,0.66066,6.6804,23.95,1.5,12.386,2.3947,7.5,0.2,1.7062,6.3516,0.86398,7.259,47.273,321.1,686,1486.7,1.4798,5.159,-2.3786,1.9967,1.197,2.6447,-3.1545,-0.087804,0.81074,2.9806,-2.0154,0.51467,0.6323,1.6633,-1.8234,0.24698,0.42802,1.7,-1.0031,0.35194,0.38532,1.1188,-1.1948,-0.084344,0.36252,1.1325,-0.98974,0.013957,0.39433,1.3571,-1.2563,-0.050592,0.26159,0.90282,-0.67999,0.11492,0.25732,0.96232,-0.7897,0.071225,0.26246,1.119,-0.71117,0.21953,0.22501,1.0012,-0.57566,0.12098,0.56855,1.9967,-0.087804,0.28568
234.07,41.482,434.77,168.9,225.24,0.059714,0.26057,0.55336,3.7786,13.35,0.5,7.6063,1.5656,5.55,0.45,1.5611,4.331,0.81242,4.8723,67.651,341.43,210.68,751.29,1.505,4.8993,-2.4184,1.7385,0.82428,2.5287,-1.9059,0.45923,0.78249,3.3284,-0.3012,1.1116,0.51719,1.7869,-1.4285,0.26647,0.37916,1.3137,-0.87174,0.11616,0.36712,0.71258,-1.377,-0.15193,0.29773,0.97195,-0.76943,0.057173,0.3349,0.72818,-0.98355,-0.1084,0.27695,0.73972,-0.97483,0.038525,0.22894,0.61271,-0.84339,0.033537,0.27671,1.0686,-0.66379,0.15915,0.19324,0.75228,-0.48587,0.089628,0.55743,1.7385,-0.15193,0.31747
165.45,63.74,427.42,92.293,146.81,0.07612,0.22575,0.70175,10.408,25.85,5.1,15,0.93853,1.7,0.05,0.61667,24.324,0.96051,24.324,31.145,126.75,505.01,1049.6,1.8863,4.4011,-3.2893,1.3272,0.72613,2.3458,-1.3886,0.31506,0.9154,3.574,-0.56818,1.2011,0.61233,2.106,-1.4419,0.62618,0.30243,1.2189,-0.44647,0.4415,0.41792,1.1207,-1.2023,-0.39892,0.40785,0.47994,-1.7737,-0.29341,0.3112,1.0673,-0.70531,0.13259,0.33771,0.66537,-1.2517,-0.13805,0.24978,0.77694,-0.65773,0.14457,0.30962,0.75758,-0.86891,0.02448,0.26845,0.80251,-0.55127,-0.026337,0.54404,1.3272,-0.39892,0.27966
